test_id,scenario,feature,status,duration_seconds,mass,expected_result,actual_result,evidence_dir,video,url,console_errors,network_requests,executed_at,screenshots,execution_log,page_source
TC_01,TC_01 - Criar Conta,Cadastro de contas,PASS,7.66,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\cadastro\TC_01,videos/TC_01_-_Criar_Conta/video.webm,https://bugbank.netlify.app/,0,20,2026-09-25T11:37:01,"['videos/TC_01_-_Criar_Conta/screenshots/01_inicio.png', 'videos/TC_01_-_Criar_Conta/screenshots/02_a_conta_dever_ser_criada_com_sucesso.png', 'videos/TC_01_-_Criar_Conta/screenshots/02_clicar_em_Cadastrar.png', 'videos/TC_01_-_Criar_Conta/screenshots/02_informar_nome_e-mail_senha_e_confirma_o_de_senha_v_lidos.png', 'videos/TC_01_-_Criar_Conta/screenshots/02_que_o_usu_rio_est_na_tela_de_cadastro.png', 'videos/TC_01_-_Criar_Conta/screenshots/03_sucesso.png']",videos/TC_01_-_Criar_Conta/execution.log,videos/TC_01_-_Criar_Conta/html/page_source.html
TC_03,TC_03 - Criar Conta com Saldo Inicial,Cadastro de contas,PASS,7.449,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\cadastro\TC_03,videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/video.webm,https://bugbank.netlify.app/,0,20,2026-09-25T11:37:15,"['videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/01_inicio.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/02_a_conta_dever_possuir_saldo_inicial_dispon_vel.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/02_a_conta_dever_ser_criada_com_sucesso.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/02_clicar_em_Cadastrar.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/02_informar_nome_e-mail_senha_e_confirma_o_de_senha_v_lidos.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/02_que_o_usu_rio_est_na_tela_de_cadastro.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/02_selecionar_a_op_o_Criar_conta_com_saldo.png', 'videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/screenshots/03_sucesso.png']",videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/execution.log,videos/TC_03_-_Criar_Conta_com_Saldo_Inicial/html/page_source.html
TC_04,TC_04 - Validar Campos Obrigatórios do Cadastro,Cadastro de contas,PASS,5.693,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\cadastro\TC_04,videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/video.webm,https://bugbank.netlify.app/,0,20,2026-09-25T11:37:31,"['videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/01_inicio.png', 'videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/02_a_conta_n_o_dever_ser_criada.png', 'videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/02_clicar_em_Cadastrar.png', 'videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/02_deixar_os_campos_obrigat_rios_em_branco.png', 'videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/02_mensagens_de_valida_o_dever_o_ser_apresentadas.png', 'videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/02_que_o_usu_rio_est_na_tela_de_cadastro.png', 'videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/screenshots/03_sucesso.png']",videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/execution.log,videos/TC_04_-_Validar_Campos_Obrigat_rios_do_Cadastro/html/page_source.html
TC_05,TC_05 - Cadastrar Conta com E-mail Já Utilizado,Cadastro de contas,PASS,8.544,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\cadastro\TC_05,videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/video.webm,https://bugbank.netlify.app/,0,20,2026-09-25T11:37:47,"['videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/01_inicio.png', 'videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/02_a_conta_n_o_dever_ser_criada.png', 'videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/02_o_sistema_dever_exibir_uma_mensagem_de_erro.png', 'videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/02_o_usu_rio_tentar_criar_uma_nova_conta_utilizando_o_mesmo_e-m.png', 'videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/02_preencher_os_demais_campos_obrigat_rios_corretamente.png', 'videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/02_que_existe_uma_conta_cadastrada_com_determinado_e-mail.png', 'videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/screenshots/03_sucesso.png']",videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/execution.log,videos/TC_05_-_Cadastrar_Conta_com_E-mail_J_Utilizado/html/page_source.html
TC_06,TC_06 - Cadastrar Conta com Confirmação de Senha Divergente,Cadastro de contas,PASS,6.33,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\cadastro\TC_06,videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/video.webm,https://bugbank.netlify.app/,0,20,2026-09-25T11:38:01,"['videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/01_inicio.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/02_a_conta_n_o_dever_ser_criada.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/02_clicar_em_Cadastrar.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/02_informar_uma_confirma_o_de_senha_diferente.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/02_informar_uma_senha_v_lida.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/02_o_sistema_dever_exibir_uma_mensagem_de_erro.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/02_que_o_usu_rio_est_na_tela_de_cadastro.png', 'videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/screenshots/03_sucesso.png']",videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/execution.log,videos/TC_06_-_Cadastrar_Conta_com_Confirma_o_de_Senha_Divergente/html/page_source.html
TC_09,TC_09 - Consultar Saldo da Conta,"Saldo, extrato e sessão",PASS,7.409,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\extrato\TC_09,videos/TC_09_-_Consultar_Saldo_da_Conta/video.webm,https://bugbank.netlify.app/home,0,50,2026-09-25T11:38:17,"['videos/TC_09_-_Consultar_Saldo_da_Conta/screenshots/01_inicio.png', 'videos/TC_09_-_Consultar_Saldo_da_Conta/screenshots/02_acessar_a_p_gina_inicial_da_conta.png', 'videos/TC_09_-_Consultar_Saldo_da_Conta/screenshots/02_o_saldo_dispon_vel_dever_ser_exibido.png', 'videos/TC_09_-_Consultar_Saldo_da_Conta/screenshots/02_o_valor_exibido_dever_corresponder_ao_saldo_da_conta.png', 'videos/TC_09_-_Consultar_Saldo_da_Conta/screenshots/02_que_o_usu_rio_est_autenticado.png', 'videos/TC_09_-_Consultar_Saldo_da_Conta/screenshots/03_sucesso.png']",videos/TC_09_-_Consultar_Saldo_da_Conta/execution.log,videos/TC_09_-_Consultar_Saldo_da_Conta/html/page_source.html
TC_12,"TC_12 - Fluxo E2E Completo de Transferência, Extrato, Saldo e Logout","Saldo, extrato e sessão",PASS,24.659,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\extrato\TC_12,videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/video.webm,https://bugbank.netlify.app/,0,208,2026-09-25T11:38:49,"['videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/01_inicio.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_acessar_seu_extrato.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_consultar_seu_saldo.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_dever_retornar_para_a_tela_de_login.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_dever_visualizar_o_recebimento_da_transfer_ncia.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_dever_visualizar_o_registro_da_transfer_ncia_enviada.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_o_saldo_dever_refletir_o_cr_dito_recebido.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_o_saldo_dever_refletir_o_d_bito_da_transfer_ncia.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_o_usu_rio_A_realizar_login.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_o_usu_rio_B_realizar_login.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_que_existe_uma_transfer_ncia_realizada_entre_o_usu_rio_A_e_o.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/02_realizar_logout.png', 'videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/screenshots/03_sucesso.png']",videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/execution.log,videos/TC_12_-_Fluxo_E2E_Completo_de_Transfer_ncia_Extrato_Saldo_e_Logout/html/page_source.html
TC_02,TC_02 - Acessar a Conta,Autenticação,PASS,8.886,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\login\TC_02,videos/TC_02_-_Acessar_a_Conta/video.webm,https://bugbank.netlify.app/home,0,50,2026-09-25T11:39:07,"['videos/TC_02_-_Acessar_a_Conta/screenshots/01_inicio.png', 'videos/TC_02_-_Acessar_a_Conta/screenshots/02_clicar_em_Acessar.png', 'videos/TC_02_-_Acessar_a_Conta/screenshots/02_informar_uma_senha_v_lida.png', 'videos/TC_02_-_Acessar_a_Conta/screenshots/02_o_usu_rio_dever_ser_autenticado_com_sucesso.png', 'videos/TC_02_-_Acessar_a_Conta/screenshots/02_o_usu_rio_informar_um_e-mail_v_lido.png', 'videos/TC_02_-_Acessar_a_Conta/screenshots/02_que_existe_uma_conta_cadastrada.png', 'videos/TC_02_-_Acessar_a_Conta/screenshots/03_sucesso.png']",videos/TC_02_-_Acessar_a_Conta/execution.log,videos/TC_02_-_Acessar_a_Conta/html/page_source.html
TC_07,TC_07 - Realizar Login com Senha Inválida,Autenticação,PASS,8.582,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\login\TC_07,videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/video.webm,https://bugbank.netlify.app/,0,40,2026-09-25T11:39:22,"['videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/01_inicio.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/02_clicar_em_Acessar.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/02_informar_uma_senha_inv_lida.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/02_o_sistema_dever_exibir_uma_mensagem_de_autentica_o_inv_lida.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/02_o_usu_rio_informar_um_e-mail_v_lido.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/02_o_usu_rio_n_o_dever_ser_autenticado.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/02_que_existe_uma_conta_cadastrada.png', 'videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/screenshots/03_sucesso.png']",videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/execution.log,videos/TC_07_-_Realizar_Login_com_Senha_Inv_lida/html/page_source.html
TC_08,TC_08 - Realizar Logout da Aplicação,Autenticação,PASS,7.754,Faker / dados isolados por cenário,Fluxo BDD concluído conforme a feature,Fluxo concluído com sucesso,evidencias\login\TC_08,videos/TC_08_-_Realizar_Logout_da_Aplica_o/video.webm,https://bugbank.netlify.app/,0,50,2026-09-25T11:39:36,"['videos/TC_08_-_Realizar_Logout_da_Aplica_o/screenshots/01_inicio.png', 'videos/TC_08_-_Realizar_Logout_da_Aplica_o/screenshots/02_a_sess_o_dever_ser_encerrada.png', 'videos/TC_08_-_Realizar_Logout_da_Aplica_o/screenshots/02_clicar_na_op_o_de_logout.png', 'videos/TC_08_-_Realizar_Logout_da_Aplica_o/screenshots/02_o_usu_rio_dever_ser_redirecionado_para_a_tela_de_login.png', 'videos/TC_08_-_Realizar_Logout_da_Aplica_o/screenshots/02_que_o_usu_rio_est_autenticado.png', 'videos/TC_08_-_Realizar_Logout_da_Aplica_o/screenshots/03_sucesso.png']",videos/TC_08_-_Realizar_Logout_da_Aplica_o/execution.log,videos/TC_08_-_Realizar_Logout_da_Aplica_o/html/page_source.html
